Data,P/BV ratios,,,,,,,,,,
Period,Monthly since Apr-1988 to present,,,,,,,,,,
Unit,Times,,,,,,,,,,
Month-Year,SET,SET50,SET50FF,SET100,SET100FF,sSET,SETCLMV,SETHD,SETESG,SETWB,mai
มี.ค.-19,1.82,2.04,,2.01,,1.29,1.82,1.48,1.85,,1.79
ก.พ.-19,1.84,2.06,,2.04,,1.32,1.8,1.5,1.87,,1.9
ม.ค.-19,1.87,2.09,,2.06,,1.29,1.75,1.5,1.89,,1.97
ธ.ค.-18,1.78,1.98,,1.92,,1.16,1.67,1.45,1.74,,1.83
พ.ย.-18,1.86,2.07,,2.02,,1.28,1.79,1.52,1.81,,2.04
ต.ค.-18,1.91,2.11,,2.07,,1.37,1.82,1.55,1.86,,2.12
ก.ย.-18,2,2.21,,2.18,,1.48,1.94,1.63,1.96,,2.25
ส.ค.-18,1.95,2.17,,2.13,,1.44,1.91,1.61,1.93,,2.16
ก.ค.-18,1.95,2.17,,2.12,,1.41,1.89,1.59,1.92,,2.17
มิ.ย.-18,1.83,1.99,,1.94,,1.28,,1.5,,,2.06
พ.ค.-18,1.97,2.15,,2.11,,1.42,,1.61,,,2.23
เม.ย.-18,2.07,2.27,,2.22,,1.54,,1.72,,,2.4
มี.ค.-18,2.07,2.26,,2.21,,1.57,,1.73,,,2.41
ก.พ.-18,2.15,2.34,,2.3,,1.6,,1.77,,,2.54
ม.ค.-18,2.22,2.37,,2.34,,1.71,,1.76,,,2.84
ธ.ค.-17,2.13,2.21,,2.23,,1.93,,1.5,,,2.83
พ.ย.-17,2.02,2.12,,2.14,,1.94,,1.48,,,2.81
ต.ค.-17,2.09,2.17,,2.21,,2.03,,1.52,,,2.96
ก.ย.-17,2.02,2.12,,2.15,,1.93,,1.51,,,2.93
ส.ค.-17,1.95,2.05,,2.07,,1.81,,1.48,,,2.73
ก.ค.-17,1.91,1.99,,2,,1.8,,1.42,,,2.79
มิ.ย.-17,1.89,1.93,,1.98,,1.69,,1.44,,,2.85
พ.ค.-17,1.88,1.92,,1.97,,1.68,,1.45,,,2.84
เม.ย.-17,1.92,1.98,,2.02,,1.72,,1.53,,,3.02
มี.ค.-17,1.93,1.98,,2.03,,1.76,,1.55,,,3.05
ก.พ.-17,1.92,1.95,,2,,1.77,,1.51,,,3.09
ม.ค.-17,2.02,2.04,,2.09,,1.83,,1.55,,,3.35
ธ.ค.-16,1.96,2.02,,2.05,,,,1.49,,,3.86
พ.ย.-16,1.9,1.96,,1.99,,,,1.42,,,3.57
ต.ค.-16,1.9,1.96,,1.98,,,,1.45,,,3.59
ก.ย.-16,1.89,1.98,,1.98,,,,1.48,,,3.43
ส.ค.-16,1.97,2.06,,2.07,,,,1.54,,,3.57
ก.ค.-16,1.97,2.07,,2.09,,,,1.5,,,3.63
มิ.ย.-16,1.86,1.95,,1.96,,,,1.35,,,3.19
พ.ค.-16,1.83,1.95,,1.94,,,,1.32,,,3.14
เม.ย.-16,1.84,1.95,,1.94,,,,1.35,,,3.25
มี.ค.-16,1.84,1.96,,1.95,,,,1.34,,,3.18
ก.พ.-16,1.75,1.85,,1.84,,,,1.25,,,3.05
ม.ค.-16,1.75,1.83,,1.83,,,,1.21,,,3.2
ธ.ค.-15,1.74,1.77,,1.75,,,,1.18,,,3.29
พ.ย.-15,1.82,1.9,,1.86,,,,1.25,,,3.55
ต.ค.-15,1.86,1.94,,1.91,,,,1.27,,,3.76
ก.ย.-15,1.8,1.88,,1.84,,,,1.23,,,3.63
ส.ค.-15,1.84,1.96,,1.91,,,,1.29,,,3.56
ก.ค.-15,1.96,2.1,,2.05,,,,1.42,,,3.94
มิ.ย.-15,2.04,2.18,,2.13,,,,1.5,,,4.3
พ.ค.-15,2.03,2.17,,2.12,,,,1.49,,,4.26
เม.ย.-15,2.13,2.27,,2.22,,,,1.56,,,4.91
มี.ค.-15,2.11,2.25,,2.2,,,,1.51,,,4.78
ก.พ.-15,2.26,2.36,,2.32,,,,1.57,,,6.1
ม.ค.-15,2.26,2.39,,2.34,,,,1.56,,,6.46
ธ.ค.-14,2.13,2.26,,2.21,,,,1.5,,,5.64
พ.ย.-14,2.26,2.41,,2.37,,,,1.66,,,5.72
ต.ค.-14,2.28,2.43,,2.39,,,,1.64,,,5.85
ก.ย.-14,2.28,2.44,,2.4,,,,1.65,,,5.21
ส.ค.-14,2.23,2.4,,2.36,,,,1.62,,,4.5
ก.ค.-14,2.17,2.35,,2.29,,,,1.61,,,3.87
มิ.ย.-14,2.15,2.32,,2.26,,,,1.61,,,3.44
พ.ค.-14,2.04,2.21,,2.15,,,,1.52,,,3.01
