Month-Year,SET50,log-SET,gmean-SET,scaled-SET,quarter,set-index,ret
1996-09-01,2.55,0.9360933591703348,2.61658361587749,0.9662156858681136,1.0,,0.0
1996-10-01,2.07,0.7275486072772777,2.496788545344438,0.7911079116444786,0.0,686.29,-0.1831825755772436
1996-11-01,2.01,0.6981347220709843,2.408153385871781,0.8050341322447534,0.0,,0.0
1996-12-01,1.74,0.5538851132264376,2.298910254039063,0.7225453371069628,0.0,612.8,-0.10708301155488209
1997-01-01,1.81,0.5933268452777344,2.231215853589365,0.7873295605254387,0.0,,0.0
1997-02-01,1.64,0.494696241836107,2.1561863022924155,0.7350252542181098,0.0,536.5,-0.12451044386422971
1997-03-01,1.58,0.4574248470388755,2.0901784373602066,0.7327752700776249,0.0,,0.0
1997-04-01,1.48,0.3920420877760237,2.0256020248143725,0.7080735182921357,0.0,489.2,-0.08816402609506058
1997-05-01,1.28,0.2468600779315258,1.9495847081056497,0.6319109007196515,0.0,,0.0
1997-06-01,1.19,0.17395330712343798,1.8769390727850335,0.6103864043723884,0.0,381.99,-0.219153720359771
1997-07-01,1.66,0.5068176023684519,1.8605443472115633,0.8844186921511865,0.0,,0.0
1997-08-01,1.18,0.16551443847757333,1.8049125230957968,0.6342229905825629,0.0,359.15,-0.05979214115552767
1997-09-01,1.37,0.3148107398400336,1.774077891609882,0.7590395559171853,0.0,,0.0
1997-10-01,1.08,0.0769610411361284,1.7230319677208088,0.6087669572500884,0.0,322.43,-0.10224140331337872
1997-11-01,1.02,0.01980262729617973,1.6735693552284334,0.5919797305613749,0.0,,0.0
1997-12-01,0.99,-0.01005033585350145,1.6279582631276808,0.5915500286301969,0.0,259.83,-0.19415066836212513
1998-01-01,1.58,0.4574248470388755,1.62552613894062,0.9705408521742186,1.0,,0.0
1998-02-01,1.53,0.4252677354043441,1.6208448901732635,0.9412337109491972,0.0,393.66,0.5150675441634918
1998-03-01,1.4,0.3364722366212129,1.6100892007035832,0.8637470546921637,0.0,,0.0
1998-04-01,1.41,0.34358970439007686,1.6008264413653834,0.8757278785447741,0.0,295.59,-0.2491236092059138
1998-05-01,1.03,0.02955880224154443,1.571682399415147,0.6434176581450568,0.0,,0.0
1998-06-01,0.8,-0.2231435513142097,1.529796974268728,0.5090086904947815,0.0,178.35,-0.39663046787780365
1998-07-01,0.91,-0.09431067947124129,1.4995369326913195,0.5948501764000398,0.0,,0.0
1998-08-01,0.66,-0.4155154439616658,1.454643854788112,0.44013587502340057,0.0,142.39,-0.20162601626016263
1998-09-01,0.83,-0.18632957819149348,1.4257844373664874,0.5705863997348687,0.0,,0.0
1998-10-01,1.12,0.11332868530700327,1.4139655903873896,0.7855324904995525,0.0,237.97,0.671255003862631
1998-11-01,1.25,0.22314355131420976,1.408168245118743,0.8840384861540603,0.0,,0.0
1998-12-01,1.3,0.26236426446749106,1.4045423239363828,0.923185141055626,0.0,256.85,0.07933773164684643
1999-01-01,1.37,0.3148107398400336,1.4034498061299532,0.9754067048406387,1.0,,0.0
1999-02-01,1.42,0.35065687161316933,1.4039484816788725,1.0117925085726325,1.0,246.31,-0.04103562390500304
