Data,Market Index,,,,,,,,,,
Period,Monthly since Apr-1975 to present,,,,,,,,,,
Unit,Point,,,,,,,,,,
Month-Year,SET,SET501/,SET50FF2/,SET1003/,SET100FF4/,sSET5/,SETCLMV6/,SETHD7/,SETESG8/,SETWB9/,mai10/
Base,2518 (1975)/4/30 = 100,2538 (1995)/8/16 = 1000,2566 (2023)/12/28 = 875.25,2545 (2005)/4/30 = 1000,2566 (2023)/12/28 = 1938.83,2559 (2016)/12/30 = 1000,2561 (2018)/06/29 = 1000,2554 (2011)/6/30 = 1000,2561 (2018)/06/29 = 1000,2562 (2019)/03/29 = 1000,2545 (2002)/9/2 = 100
เม.ย.-98,412.13,295.59,,,,,,,,,
มี.ค.-98,459.11,332.65,,,,,,,,,
ก.พ.-98,528.42,393.66,,,,,,,,,
ม.ค.-98,495.23,382.39,,,,,,,,,
ธ.ค.-97,372.69,259.83,,,,,,,,,
พ.ย.-97,395.47,279.44,,,,,,,,,
ต.ค.-97,447.21,322.43,,,,,,,,,
ก.ย.-97,544.54,410.59,,,,,,,,,
ส.ค.-97,502.23,359.15,,,,,,,,,
ก.ค.-97,665.62,503.26,,,,,,,,,
มิ.ย.-97,527.28,381.99,,,,,,,,,
พ.ค.-97,566.39,411.55,,,,,,,,,
เม.ย.-97,661.29,489.2,,,,,,,,,
มี.ค.-97,705.43,521.8,,,,,,,,,
ก.พ.-97,727.56,536.5,,,,,,,,,
ม.ค.-97,788.04,584.4,,,,,,,,,
ธ.ค.-96,831.57,612.8,,,,,,,,,
พ.ย.-96,925.97,705.21,,,,,,,,,
ต.ค.-96,910.33,686.29,,,,,,,,,
ก.ย.-96,"1,099.01",845.6,,,,,,,,,
ส.ค.-96,"1,102.32",840.2,,,,,,,,,
ก.ค.-96,"1,064.04",806,,,,,,,,,
มิ.ย.-96,"1,247.08",961.3,,,,,,,,,
พ.ค.-96,"1,311.91","1,020.30",,,,,,,,,
เม.ย.-96,"1,292.61","1,010.38",,,,,,,,,
มี.ค.-96,"1,289.73","1,006.42",,,,,,,,,
ก.พ.-96,"1,321.87","1,027.72",,,,,,,,,
ม.ค.-96,"1,410.33","1,110.49",,,,,,,,,
ธ.ค.-95,"1,280.81",996.5,,,,,,,,,
พ.ย.-95,"1,196.62",930.98,,,,,,,,,
ต.ค.-95,"1,270.76",990.44,,,,,,,,,
ก.ย.-95,"1,294.23","1,002.50",,,,,,,,,
ส.ค.-95,"1,314.90","1,009.57",,,,,,,,,
ก.ค.-95,"1,383.10",,,,,,,,,,
มิ.ย.-95,"1,394.77",,,,,,,,,,
พ.ค.-95,"1,392.31",,,,,,,,,,
เม.ย.-95,"1,208.69",,,,,,,,,,
มี.ค.-95,"1,216.68",,,,,,,,,,
ก.พ.-95,"1,288.47",,,,,,,,,,
ม.ค.-95,"1,217.74",,,,,,,,,,
ธ.ค.-94,"1,360.09",,,,,,,,,,
พ.ย.-94,"1,362.44",,,,,,,,,,
ต.ค.-94,"1,528.83",,,,,,,,,,
ก.ย.-94,"1,485.71",,,,,,,,,,
ส.ค.-94,"1,524.83",,,,,,,,,,
ก.ค.-94,"1,376.88",,,,,,,,,,
มิ.ย.-94,"1,273.34",,,,,,,,,,
พ.ค.-94,"1,356.87",,,,,,,,,,
เม.ย.-94,"1,266.67",,,,,,,,,,
มี.ค.-94,"1,239.99",,,,,,,,,,
ก.พ.-94,"1,372.93",,,,,,,,,,
ม.ค.-94,"1,493.45",,,,,,,,,,
ธ.ค.-93,"1,682.85",,,,,,,,,,
พ.ย.-93,"1,309.95",,,,,,,,,,
ต.ค.-93,"1,260.91",,,,,,,,,,
ก.ย.-93,971.44,,,,,,,,,,
ส.ค.-93,963.18,,,,,,,,,,
ก.ค.-93,928.2,,,,,,,,,,
มิ.ย.-93,877.52,,,,,,,,,,
พ.ค.-93,825.71,,,,,,,,,,
เม.ย.-93,845.29,,,,,,,,,,
มี.ค.-93,865.23,,,,,,,,,,
ก.พ.-93,937.65,,,,,,,,,,
ม.ค.-93,974.48,,,,,,,,,,
ธ.ค.-92,893.42,,,,,,,,,,
พ.ย.-92,865.21,,,,,,,,,,
ต.ค.-92,940.35,,,,,,,,,,
ก.ย.-92,847,,,,,,,,,,
ส.ค.-92,746.51,,,,,,,,,,
ก.ค.-92,744.42,,,,,,,,,,
มิ.ย.-92,751.45,,,,,,,,,,
พ.ค.-92,688.84,,,,,,,,,,
เม.ย.-92,760.97,,,,,,,,,,
มี.ค.-92,822.72,,,,,,,,,,
ก.พ.-92,782.85,,,,,,,,,,
ม.ค.-92,763.45,,,,,,,,,,
ธ.ค.-91,711.36,,,,,,,,,,
พ.ย.-91,671.07,,,,,,,,,,
ต.ค.-91,638.84,,,,,,,,,,
ก.ย.-91,670.79,,,,,,,,,,
ส.ค.-91,705.65,,,,,,,,,,
ก.ค.-91,728.7,,,,,,,,,,
มิ.ย.-91,765.21,,,,,,,,,,
พ.ค.-91,808.19,,,,,,,,,,
เม.ย.-91,876.01,,,,,,,,,,
มี.ค.-91,865.74,,,,,,,,,,
ก.พ.-91,769.13,,,,,,,,,,
ม.ค.-91,658.47,,,,,,,,,,
ธ.ค.-90,612.86,,,,,,,,,,
พ.ย.-90,544.3,,,,,,,,,,
ต.ค.-90,649.37,,,,,,,,,,
ก.ย.-90,641.56,,,,,,,,,,
ส.ค.-90,862.75,,,,,,,,,,
ก.ค.-90,"1,115.73",,,,,,,,,,
มิ.ย.-90,"1,060.22",,,,,,,,,,
พ.ค.-90,"1,000.71",,,,,,,,,,
เม.ย.-90,855.97,,,,,,,,,,
มี.ค.-90,851.53,,,,,,,,,,
ก.พ.-90,813.67,,,,,,,,,,
ม.ค.-90,853.72,,,,,,,,,,
ธ.ค.-89,879.19,,,,,,,,,,
พ.ย.-89,769.83,,,,,,,,,,
ต.ค.-89,695.01,,,,,,,,,,
ก.ย.-89,689.51,,,,,,,,,,
ส.ค.-89,681.92,,,,,,,,,,
ก.ค.-89,624.13,,,,,,,,,,
มิ.ย.-89,606.21,,,,,,,,,,
พ.ค.-89,552.54,,,,,,,,,,
เม.ย.-89,500.21,,,,,,,,,,
มี.ค.-89,440.88,,,,,,,,,,
ก.พ.-89,435.78,,,,,,,,,,
ม.ค.-89,433.68,,,,,,,,,,
ธ.ค.-88,386.73,,,,,,,,,,
พ.ย.-88,392.86,,,,,,,,,,
ต.ค.-88,418.74,,,,,,,,,,
ก.ย.-88,444.61,,,,,,,,,,
ส.ค.-88,436.55,,,,,,,,,,
ก.ค.-88,457.01,,,,,,,,,,
มิ.ย.-88,452.7,,,,,,,,,,
พ.ค.-88,424.93,,,,,,,,,,
เม.ย.-88,413.91,,,,,,,,,,
มี.ค.-88,388.9,,,,,,,,,,
ก.พ.-88,374.83,,,,,,,,,,
ม.ค.-88,318.87,,,,,,,,,,
ธ.ค.-87,284.94,,,,,,,,,,
พ.ย.-87,290.42,,,,,,,,,,
ต.ค.-87,299.83,,,,,,,,,,
ก.ย.-87,428.19,,,,,,,,,,
ส.ค.-87,353.15,,,,,,,,,,
ก.ค.-87,313.96,,,,,,,,,,
มิ.ย.-87,299.87,,,,,,,,,,
พ.ค.-87,269.07,,,,,,,,,,
เม.ย.-87,250.19,,,,,,,,,,
มี.ค.-87,228.97,,,,,,,,,,
ก.พ.-87,208.79,,,,,,,,,,
ม.ค.-87,209.92,,,,,,,,,,
ธ.ค.-86,207.2,,,,,,,,,,
พ.ย.-86,186.46,,,,,,,,,,
ต.ค.-86,183.77,,,,,,,,,,
ก.ย.-86,162.37,,,,,,,,,,
ส.ค.-86,149.84,,,,,,,,,,
ก.ค.-86,141.51,,,,,,,,,,
มิ.ย.-86,131.51,,,,,,,,,,
พ.ค.-86,129.08,,,,,,,,,,
เม.ย.-86,129.54,,,,,,,,,,
มี.ค.-86,129.85,,,,,,,,,,
ก.พ.-86,136.5,,,,,,,,,,
ม.ค.-86,139.02,,,,,,,,,,
ธ.ค.-85,134.95,,,,,,,,,,
พ.ย.-85,142.11,,,,,,,,,,
ต.ค.-85,146.11,,,,,,,,,,
ก.ย.-85,146.74,,,,,,,,,,
ส.ค.-85,150.71,,,,,,,,,,
ก.ค.-85,158.08,,,,,,,,,,
มิ.ย.-85,155.19,,,,,,,,,,
พ.ค.-85,155.02,,,,,,,,,,
เม.ย.-85,151.14,,,,,,,,,,
มี.ค.-85,145.11,,,,,,,,,,
ก.พ.-85,139.47,,,,,,,,,,
ม.ค.-85,139.65,,,,,,,,,,
ธ.ค.-84,142.29,,,,,,,,,,
พ.ย.-84,143.22,,,,,,,,,,
ต.ค.-84,135.84,,,,,,,,,,
ก.ย.-84,132.89,,,,,,,,,,
ส.ค.-84,132.89,,,,,,,,,,
ก.ค.-84,132.24,,,,,,,,,,
มิ.ย.-84,133.14,,,,,,,,,,
พ.ค.-84,131.64,,,,,,,,,,
เม.ย.-84,132.73,,,,,,,,,,
มี.ค.-84,130.09,,,,,,,,,,
ก.พ.-84,131.4,,,,,,,,,,
ม.ค.-84,133.77,,,,,,,,,,
ธ.ค.-83,134.47,,,,,,,,,,
พ.ย.-83,136.31,,,,,,,,,,
ต.ค.-83,138.6,,,,,,,,,,
ก.ย.-83,142.04,,,,,,,,,,
ส.ค.-83,144.73,,,,,,,,,,
ก.ค.-83,148.36,,,,,,,,,,
มิ.ย.-83,139.88,,,,,,,,,,
พ.ค.-83,138.04,,,,,,,,,,
เม.ย.-83,137.27,,,,,,,,,,
มี.ค.-83,131.33,,,,,,,,,,
ก.พ.-83,125.03,,,,,,,,,,
ม.ค.-83,125.8,,,,,,,,,,
ธ.ค.-82,123.5,,,,,,,,,,
พ.ย.-82,120.84,,,,,,,,,,
ต.ค.-82,127.49,,,,,,,,,,
ก.ย.-82,126.24,,,,,,,,,,
ส.ค.-82,124.09,,,,,,,,,,
ก.ค.-82,108.16,,,,,,,,,,
มิ.ย.-82,106.61,,,,,,,,,,
พ.ค.-82,105.83,,,,,,,,,,
เม.ย.-82,104.89,,,,,,,,,,
มี.ค.-82,102.98,,,,,,,,,,
ก.พ.-82,106.16,,,,,,,,,,
ม.ค.-82,106.77,,,,,,,,,,
ธ.ค.-81,106.62,,,,,,,,,,
พ.ย.-81,108.35,,,,,,,,,,
ต.ค.-81,105.04,,,,,,,,,,
ก.ย.-81,105.12,,,,,,,,,,
ส.ค.-81,104.68,,,,,,,,,,
ก.ค.-81,111.61,,,,,,,,,,
มิ.ย.-81,112.41,,,,,,,,,,
พ.ค.-81,116.99,,,,,,,,,,
เม.ย.-81,121.62,,,,,,,,,,
มี.ค.-81,124.31,,,,,,,,,,
ก.พ.-81,127.05,,,,,,,,,,
ม.ค.-81,126.88,,,,,,,,,,
ธ.ค.-80,124.67,,,,,,,,,,
พ.ย.-80,127.88,,,,,,,,,,
ต.ค.-80,119.04,,,,,,,,,,
ก.ย.-80,118.87,,,,,,,,,,
ส.ค.-80,120.36,,,,,,,,,,
ก.ค.-80,126.61,,,,,,,,,,
มิ.ย.-80,127.81,,,,,,,,,,
พ.ค.-80,124.11,,,,,,,,,,
เม.ย.-80,129.63,,,,,,,,,,
มี.ค.-80,138.25,,,,,,,,,,
ก.พ.-80,137.91,,,,,,,,,,
ม.ค.-80,136.84,,,,,,,,,,
ธ.ค.-79,149.4,,,,,,,,,,
พ.ย.-79,152.45,,,,,,,,,,
ต.ค.-79,158.47,,,,,,,,,,
ก.ย.-79,169.32,,,,,,,,,,
ส.ค.-79,170.91,,,,,,,,,,
ก.ค.-79,175.09,,,,,,,,,,
มิ.ย.-79,175.58,,,,,,,,,,
พ.ค.-79,183.72,,,,,,,,,,
เม.ย.-79,175.88,,,,,,,,,,
มี.ค.-79,218.09,,,,,,,,,,
ก.พ.-79,229.43,,,,,,,,,,
ม.ค.-79,239.81,,,,,,,,,,
ธ.ค.-78,257.73,,,,,,,,,,
พ.ย.-78,239.8,,,,,,,,,,
ต.ค.-78,242.85,,,,,,,,,,
ก.ย.-78,206.93,,,,,,,,,,
ส.ค.-78,194.18,,,,,,,,,,
ก.ค.-78,184.75,,,,,,,,,,
มิ.ย.-78,189.99,,,,,,,,,,
พ.ค.-78,187.91,,,,,,,,,,
เม.ย.-78,182.38,,,,,,,,,,
มี.ค.-78,188.61,,,,,,,,,,
ก.พ.-78,202.05,,,,,,,,,,
ม.ค.-78,201.01,,,,,,,,,,
ธ.ค.-77,181.58,,,,,,,,,,
พ.ย.-77,182.45,,,,,,,,,,
ต.ค.-77,192.62,,,,,,,,,,
ก.ย.-77,149.93,,,,,,,,,,
ส.ค.-77,150.07,,,,,,,,,,
ก.ค.-77,127.8,,,,,,,,,,
มิ.ย.-77,113.47,,,,,,,,,,
พ.ค.-77,104.15,,,,,,,,,,
เม.ย.-77,101.24,,,,,,,,,,
มี.ค.-77,97.68,,,,,,,,,,
ก.พ.-77,89.95,,,,,,,,,,
ม.ค.-77,87.55,,,,,,,,,,
ธ.ค.-76,82.69,,,,,,,,,,
พ.ย.-76,80.66,,,,,,,,,,
ต.ค.-76,80.08,,,,,,,,,,
ก.ย.-76,79.65,,,,,,,,,,
ส.ค.-76,79.92,,,,,,,,,,
ก.ค.-76,78.38,,,,,,,,,,
มิ.ย.-76,77.63,,,,,,,,,,
พ.ค.-76,78.12,,,,,,,,,,
เม.ย.-76,80.7,,,,,,,,,,
มี.ค.-76,77.57,,,,,,,,,,
ก.พ.-76,80.9,,,,,,,,,,
ม.ค.-76,82.55,,,,,,,,,,
ธ.ค.-75,84.07,,,,,,,,,,
พ.ย.-75,89.07,,,,,,,,,,
ต.ค.-75,91.1,,,,,,,,,,
ก.ย.-75,92.1,,,,,,,,,,
ส.ค.-75,98.39,,,,,,,,,,
ก.ค.-75,98.02,,,,,,,,,,
มิ.ย.-75,91.64,,,,,,,,,,
พ.ค.-75,89.98,,,,,,,,,,
เม.ย.-75,100,,,,,,,,,,
หมายเหตุ:,1/ตลาดหลักทรัพย์แห่งประเทศไทยได้ปรับค่าดัชนี SET50 จากฐานเดิมที่ 100 จุด เป็น 1000 จุด ในวันที่ 3 พฤษภาคม 2548 พร้อมกับ ดัชนี SET100,,,,,,,,,,
,2/ดัชนี SET50FF เริ่มเผยแพร่ 2 มกราคม 2567 โดยใช้วันฐานดัชนีเป็นวันที่ 28 ธันวาคม 2566 และดัชนีเริ่มที่ราคาปิดของดัชนี SET50 ณ วันที่ 28 ธันวาคม 2566 = 875.25 จุด,,,,,,,,,,
,3/ดัชนี SET100 เริ่มเผยแพร่ 3 พฤษภาคม 2548 โดยใช้ราคาหลักทรัพย์ในวันที่ 30 เมษายน 2548 และดัชนีเริ่มที่ 1000 จุด,,,,,,,,,,
,"4/ดัชนี SET100FF เริ่มเผยแพร่ 2 มกราคม 2567 โดยใช้วันฐานดัชนีเป็นวันที่ 28 ธันวาคม 2566 และดัชนีเริ่มที่ราคาปิดของดัชนี SET100FF ณ วันที่ 28 ธันวาคม 2566 = 1,938.83 จุด",,,,,,,,,,
,5/ดัชนี sSET เริ่มเผยแพร่ 4 มกราคม 2560 โดยใช้ราคาหลักทรัพย์ในวันที่ 30 ธันวาคม 2559 และดัชนีเริ่มที่ 1000 จุด,,,,,,,,,,
,6/ดัชนี SETCLMV เริ่มเผยแพร่ 2 กรกฎาคม 2561 โดยใช้ราคาหลักทรัพย์ในวันที่ 29 มิถุนายน 2561 และดัชนีเริ่มที่ 1000 จุด,,,,,,,,,,
,7/ดัชนี SETHD เริ่มเผยแพร่ 4 กรกฎาคม 2554 โดยใช้ราคาหลักทรัพย์ในวันที่ 30 มิถุนายน 2554 และดัชนีเริ่มที่ 1000 จุด,,,,,,,,,,
,8/ดัชนี SETESG เริ่มเผยแพร่ 2 กรกฎาคม 2561 โดยใช้ราคาหลักทรัพย์ในวันที่ 29 มิถุนายน 2561 และดัชนีเริ่มที่ 1000 จุด,,,,,,,,,,
,9/ดัชนี SETWB เริ่มเผยแพร่ 1 เมษายน 2562 โดยใช้ราคาหลักทรัพย์ในวันที่ 29 มีนาคม 2562 และดัชนีเริ่มที่ 1000 จุด,,,,,,,,,,
,10/ตลาดหลักทรัพย์ เอ็ม เอ ไอ เริ่มเผยแพร่ดัชนีวันที่ 3 กันยายน 2545 โดยใช้วันที่ 2 กันยายน 2545 เป็นวันฐาน และดัชนีเริ่มที่ 100 จุด,,,,,,,,,,
,,,,,,,,,,,
Note:,"1/The SET adjusted the base from a one on May 3, 2005. This change was so that both the SET50 and SET100 indices.",,,,,,,,,,
,"2/The SET50FF Index was launched on Jan 2, 2024. In calculating the SET50FF Index, the base date is December 28th, 2023. The base index starts at the same as closing value of SET50 Index on December 28th, 2023 = 875.25 point.",,,,,,,,,,
,"3/The SET100 Index was launched on May 3, 2005. In calculating the SET100 Index, the securities prices of April 30, 2005 were used as the base value. The base index starts at 1,000 point.",,,,,,,,,,
,"4/The SET100FF Index was launched on Jan 2, 2024. In calculating the SET100FF Index, the base date is December 28th, 2023. The base index starts at the same as closing value of SET100 Index on December 28th, 2023 = 1,938.83 point.",,,,,,,,,,
,"5/The sSET Index was launched on January 4, 2017. In calculating the sSET Index, the securities prices of December 30, 2016 were used as the base value. The base index starts at 1,000 point.",,,,,,,,,,
,"6/The SETCLMV Index was launched on July 2, 2018. In calculating the SETCLMV Index, the securities prices of June 29th, 2018 were used as the base value. The base index starts at 1,000 point.",,,,,,,,,,
,"7/The SETHD Index was launched on July 4th, 2011. In calculating the SETHD Index, the securities prices of June 30th, 2011 were used as the base value. The base index starts at 1,000 point.",,,,,,,,,,
,"8/The SETESG Index was launched on July 2, 2018. In calculating the SETESG Index, the securities prices of June 29th, 2018 were used as the base value. The base index starts at 1,000 point.",,,,,,,,,,
,"9/The SETWB Index was launched on April 1, 2019. In calculating the SETWB Index, the securities prices of March 29th, 2019 were used as the base value. The base index starts at 1,000 point.",,,,,,,,,,
,"10/The mai was launched on September 3, 2002. In calculating the securities prices of September 2, 2002 were used as the base value. The base index starts at 100 point.",,,,,,,,,,
