Month-Year,SET,log-SET,gmean-SET,scaled-SET,quarter
1993-11-01,3.5,1.252762968495368,3.632238672567607,0.9630598406139347,3.0
1993-12-01,4.31,1.4609379041156563,3.6412561534909003,1.1865960330611445,3.0
1994-01-01,4.36,1.472472057360943,3.6506389077242423,1.1973889823213988,3.0
1994-02-01,3.73,1.3164082336557241,3.651744860842831,1.0217389597497142,3.0
1994-03-01,3.45,1.2383742310432684,3.648863611654411,0.9447538454818917,2.0
1994-04-01,3.54,1.264126727145683,3.647349944573978,0.9701650641841744,3.0
1994-05-01,3.72,1.3137236682850553,3.6483221819538008,1.0199185865162461,3.0
1994-06-01,3.48,1.247032293786383,3.6460251875717495,0.9538631256892837,2.0
1994-07-01,3.8,1.33500106673234,3.6480101000159277,1.0422308690990687,3.0
1994-08-01,4.05,1.3987168811184478,3.652965994254702,1.1101942946874837,3.0
1994-09-01,3.95,1.3737155789130306,3.6566290447563787,1.0813131045327184,3.0
1994-10-01,4.06,1.4011829736136412,3.6614757264892925,1.1103122439565087,3.0
1994-11-01,3.44,1.235471471385307,3.6586211268228253,0.9395118954669,2.0
1994-12-01,3.46,1.2412685890696329,3.656100810308121,0.9457114798341228,2.0
1995-01-01,3.1,1.1314021114911006,3.6487516361154166,0.8478978455024453,1.0
1995-02-01,3.25,1.1786549963416462,3.6436675865100208,0.8907155992289075,2.0
1995-03-01,2.92,1.0715836162801904,3.634076256189899,0.8013903383532403,1.0
1995-04-01,2.89,1.0612565021243408,3.624294606072864,0.795250235896256,1.0
1995-05-01,3.21,1.1662709371419244,3.6191825338458106,0.8856895889813504,2.0
1995-06-01,3.2,1.1631508098056809,3.6140653289707925,0.8841775649816758,2.0
1995-07-01,3.17,1.1537315878891892,3.6086851326636245,0.87712858275939,2.0
1995-08-01,2.93,1.075002423028976,3.6002474028025198,0.8119300776561028,1.0
1995-09-01,2.89,1.0612565021243408,3.591467678928367,0.8027226122711328,1.0
1995-10-01,2.84,1.0438040521731147,3.5822145448521434,0.7907630678852183,1.0
1995-11-01,2.58,0.9477893989335261,3.56945846910542,0.7202248686382043,1.0
1995-12-01,2.75,1.0116009116784799,3.5594621581497248,0.7704249884967024,1.0
1996-01-01,3.01,1.1019400787607843,3.553118744946789,0.8456333755672386,1.0
1996-02-01,2.78,1.0224509277025455,3.543953262179154,0.7824112278695129,1.0
1996-03-01,2.63,0.9669838461896731,3.5329597658509284,0.7421091096395639,1.0
1996-04-01,2.64,0.9707789171582248,3.5223638029209754,0.7472488154317106,1.0
1996-05-01,2.59,0.9516578757114463,3.511329725939596,0.7353016737942293,1.0
1996-06-01,2.46,0.9001613499442714,3.4987316871133274,0.7005892900991316,1.0
1996-07-01,2.14,0.7608058290337602,3.4815743145383773,0.6116502182439815,0.0
1996-08-01,2.18,0.7793248768009977,3.4654737099683204,0.6261535164987702,0.0
1996-09-01,2.17,0.7747271675523681,3.4496055911621633,0.6261770198279291,0.0
1996-10-01,1.81,0.5933268452777344,3.4280734161091706,0.5246976653322897,0.0
1996-11-01,1.76,0.5653138090500605,3.406168280800054,0.5134079076980745,0.0
1996-12-01,1.58,0.4574248470388755,3.3813402303055153,0.4638643395589614,0.0
1997-01-01,1.5,0.4054651081081644,3.35551129858754,0.44361108253944326,0.0
1997-02-01,1.37,0.3148107398400336,3.3275365541374518,0.40828353061325834,0.0
1997-03-01,1.32,0.27763173659827955,3.2991707227826126,0.39668985705317494,0.0
1997-04-01,1.28,0.2468600779315258,3.270637109823674,0.38797628481632873,0.0
1997-05-01,1.11,0.10436001532424286,3.238664129439117,0.33938341758124374,0.0
1997-06-01,1.04,0.03922071315328133,3.2056896393997913,0.3211200539588249,0.0
1997-07-01,1.31,0.2700271372130602,3.180177662068503,0.4086484180811947,0.0
1997-08-01,0.99,-0.01005033585350145,3.1475039493257286,0.3113033626417173,0.0
1997-09-01,1.1,0.09531017980432493,3.118611328445936,0.34948327872174606,0.0
1997-10-01,0.91,-0.09431067947124129,3.085387921951716,0.29179654152461204,0.0
1997-11-01,0.89,-0.11653381625595151,3.0524973412272214,0.2884564348190664,0.0
1997-12-01,0.89,-0.11653381625595151,3.0205106917753533,0.2915645455213356,0.0
1998-01-01,1.22,0.19885085874516517,2.997393509417937,0.40390520825566933,0.0
1998-02-01,1.27,0.23901690047049992,2.9758416139418604,0.42370145795325387,0.0
1998-03-01,1.2,0.1823215567939546,2.9534043342998184,0.4032472677235182,0.0
1998-04-01,1.17,0.1570037488096647,2.9308896093293266,0.3961530043184483,0.0
1998-05-01,0.9,-0.10536051565782628,2.902662454318556,0.3070740014005326,0.0
1998-06-01,0.74,-0.3011050927839216,2.870587604509678,0.2549383580233501,0.0
1998-07-01,0.74,-0.3011050927839216,2.8393760145725038,0.25778694189212825,0.0
1998-08-01,0.58,-0.5447271754416722,2.8035257540504817,0.2042702329748759,0.0
1998-09-01,0.72,-0.3285040669720361,2.7734418049824336,0.2568194706111608,0.0
1998-10-01,0.95,-0.05129329438755058,2.7501432358977196,0.34253467957876155,0.0
1998-11-01,1.01,0.009950330853168092,2.728705153768229,0.3672535985822241,0.0
1998-12-01,1.05,0.04879016416943204,2.7085780874151513,0.38479789527644404,0.0
1999-01-01,1.07,0.06765864847381486,2.689296025577185,0.395041222910107,0.0
1999-02-01,1.1,0.09531017980432493,2.6710062280787534,0.4090289761849162,0.0
1999-03-01,1.18,0.16551443847757333,2.6545265641442857,0.44178107396206645,0.0
1999-04-01,1.56,0.44468582126144574,2.6439380051597374,0.58767541492013,0.0
1999-05-01,1.52,0.41871033485818504,2.633038324853168,0.5749000154442604,0.0
